year,month_year,count
2021,2021-02,2
2021,2021-03,9
2021,2021-04,5
2021,2021-05,3
2021,2021-06,6
2021,2021-07,2
2021,2021-08,4
2021,2021-09,13
2021,2021-10,8
2021,2021-11,21
2021,2021-12,18
2022,2022-01,7
2022,2022-02,24
2022,2022-03,13
2022,2022-04,11
