date,headline,url,candidate,category,clean_candidate,first_name,rest_name,body_text,year,month,weekday,month_year,state
2022-04-11,Endorsement of Congressman Frank Lucas,https://www.donaldjtrump.com/news/news-e9wdb5vkef0,Congressman Frank Lucas,U.S. House member,Frank Lucas,Frank,Lucas,"Congressman Frank Lucas is a strong advocate for the people of Oklahoma’s 3rd Congressional District. Frank is working hard to Grow our Economy, Encourage Innovation, Promote American Farmers, Defend the Second Amendment, and Support our Military and Vets. In 2016 and 2020, I won 77 of 77 counties in the Great State of Oklahoma, and I was proud to campaign alongside Oklahoma leaders like Frank. Frank Lucas has my Complete and Total Endorsement!",2022,April,Monday,2022-04,
2022-04-09,Endorsement of Dr. Oz,https://www.donaldjtrump.com/news/news-stmyy2gpun1845,Dr. Oz,,Dr. Oz,Dr.,Oz,"This is all about winning elections in order to stop the Radical Left maniacs from destroying our Country. The Great Commonwealth of Pennsylvania has a tremendous opportunity to Save America by electing the brilliant and well-known Dr. Mehmet Oz for the United States Senate. I have known Dr. Oz for many years, as have many others, even if only through his very successful television show. He has lived with us through the screen and has always been popular, respected, and smart. He even said that I was in extraordinary health, which made me like him even more (although he also said I should lose a couple of pounds!). He is a graduate of Harvard University and earned a joint MD and MBA from the University of Pennsylvania School of Medicine and Wharton School of Finance. He has authored more than 350 original publications, written 8 New York Times bestsellers, and received patents for developing medical devices that have improved countless lives and performed thousands of life-saving heart operations. Dr. Oz is Pro-Life, very strong on Crime, the Border, Election Fraud, our Great Military, and our Vets, Tax Cuts, and will always fight for and support our under-siege Second Amendment. He will ensure America will become Energy Independent again. Dr. Oz also passionately believes in high-quality education and protecting parent involvement throughout the process. Perhaps most importantly, I believe that Mehmet Oz will be the one most able to win the General Election against a Radical Left Democrat looking to do unthinkable harm to our Country. Women, in particular, are drawn to Dr. Oz for his advice and counsel. I have seen this many times over the years. They know him, believe in him, and trust him. Likewise, he will do very well in Philadelphia and Pittsburgh, where other candidates will just not be accepted. He knows his job is to serve every single Pennsylvanian. Dr. Oz is smart, tough, and will never let you down, therefore, he has my Complete and Total Endorsement. Good luck, Dr. Oz. our Country needs you!",2022,April,Saturday,2022-04,
