date,headline,url
2021-12-10,Endorsement of Congresswoman Beth Van Duyne,/news/news-de6pgtbqn51245
2021-12-10,Endorsement of Congressman Michael Burgess,/news/news-8qs5mbecyf1246
2021-12-06,Endorsement of David Perdue,/news/news-yc8pkwjhvm1216
2021-11-29,Endorsement of Anthony Kern,/news/news-vvjjzf6q291168
2021-11-29,Endorsement of Wendy Rogers,/news/news-mf2sstb7ep1169
2021-11-22,Endorsement of Dan Cox,/news/news-zvmmtggapy1127
2021-11-19,Endorsement of Ryan Guillen,/news/news-pfpem8ddsk1112
2021-11-19,Endorsement of Jon Rocha,/news/news-amc2ntq5jg1113
2021-11-18,Endorsement of Congressman Paul Gosar,/news/news-kapqkbzx921096
2021-11-16,Endorsement of Kevin Rathbun,/news/news-jwzpbrt8bw1085
2021-11-16,Endorsement of Mick Bricker,/news/news-mkc4pefjhz1068
2021-11-15,Endorsement of John Gibbs,/news/news-cjzzhzdt6z1078
2021-11-15,Endorsement of Congressman Matt Rosendale,/news/news-uycvwweqpx1066
2021-11-15,Endorsement of Congressman Alex Mooney,/news/news-y4wqnayfr51067
2021-11-15,Endorsement of Mike Detmer,/news/news-mrxxkyjm2v1053
2021-11-15,Endorsement of Rachelle Smit,/news/news-tsxbe9gefc1054
2021-11-11,Endorsement of Matt Maddock,/news/news-6y4zbgstew1046
2021-11-11,Endorsement of Congressman John Carter,/news/news-yfhvrzxmhn1047
2021-11-11,Endorsement of Congressman Michael McCaul,/news/news-2774r2u6tt1048
2021-11-11,Endorsement of Congressman Pat Fallon,/news/news-wdfp5yyzx81049
2021-11-09,Endorsement of Congressman Gus Bilirakis,/news/news-7yuzdqd8ce1030
2021-11-09,Endorsement of Janice McGeachin,/news/news-6rx8qmbwmq1031
2021-11-09,Endorsement of Congressman August Pfluger,/news/news-xsdm5assfg1032
2021-11-09,Endorsement of Congressman Chuck Fleischmann,/news/news-7jkkc7azxb1034
2021-10-27,Endorsement of Dawn Buckingham,/news/news-abzszhpvhp956
2021-10-26,Endorsement of President Jair Bolsonaro,/news/news-n8cwethx4p948
2021-10-26,Endorsement of Charles W. Herbster,/news/news-hzzzzceu6m949
2021-10-07,Endorsement of Steve Bovo,/news/news-g9xvpjrjkh828
2021-10-07,Endorsement of Congressman Rick Crawford,/news/news-wngdupnfbh829
2021-10-05,Endorsement of Geoff Diehl,/news/news-tyxxdtthph801
2021-10-05,Endorsement of Pete Flores,/news/news-cwgjhqvyza803
2021-10-05,Endorsement of Kevin Sparks,/news/news-xyahksmghy804
2021-09-28,Endorsement of Kari Lake,/news/news-cmgwp3syxz782
2021-09-19,Endorsement of Mike Waltz,/news/news-je8rcpjvhv717
2021-09-19,Endorsement of Diana Harshbarger,/news/news-fskrzcr7gs718
2021-09-16,Endorsement of Matt DePerno,/news/news-5etzcyhc3r709
2021-09-14,Endorsement of Anna Paulina Luna,/news/news-dz5ksvaczm677
2021-09-13,Endorsement of Mark Finchem,/news/news-rbycqm3btr682
2021-09-09,Endorsement of Harriet Hageman,/news/news-vzcspxnjyd666
2021-09-07,Endorsement of Kristina Karamo,/news/news-j9zhp9jpet658
2021-09-07,Endorsement of Steve Carra,/news/news-8ptdrect33659
2021-09-02,Endorsement of Burt Jones,/news/news-3m82eyhxus630
2021-09-02,Endorsement of Herschel Walker,/news/news-tuf7ctbbmu631
2021-09-01,Endorsement of Sean Parnell,/news/news-6b78djb9mg618
2021-09-01,Endorsement of Joe Kent,/news/news-wzcczy7uag619
2021-08-20,Endorsement of Adam Laxalt,/news/news-jmmhfpujyk570
2021-08-20,Endorsement of Jonathan Lindsey,/news/news-umgnanzwwd562
2021-08-13,Endorsement of Governor Bill Lee,/news/news-367nrtjmec528
2021-08-12,Endorsement of Derrick Van Orden,/news/news-de44jgzs65520
2021-07-26,Endorsement of Texas Attorney General Ken Paxton,/news/news-7yqsgatgxg0
2021-07-08,Endorsement of Ryan Zinke,/news/endorsement-of-ryan-zinke
2021-06-19,Endorsement of Vito Fossella,/news/endorsement-of-vito-fossella
2021-06-18,Endorsement of Kelly Tshibaka,/news/Endorsement-of-Kelly-Tshibaka
2021-06-08,Endorsement of Mike Carey,/news/endorsement-of-mike-carey
2021-06-03,Endorsement of Congresswoman Virginia Foxx,/news/endorsement-of-congresswoman-virginia-foxx
2021-06-02,Endorsement of Senator John Kennedy,/news/endorsement-of-senator-john-kennedy-06.04.21
2021-06-01,Endorsement of Governor Greg Abbott,/news/endorsement-of-governor-greg-abbott
2021-05-11,Endorsement of Wilton Simpson,/news/endorsement-of-wilton-simpson
2021-05-11,Endorsement of Glenn Youngkin,/news/endorsement-of-glenn-youngkin
2021-05-10,Endorsement of Lieutenant Governor Dan Patrick,/news/endorsement-of-lieutenant-governor-dan-patrick
2021-04-15,Endorsement of Frank Eathorne,/news/endorsement-of-frank-eathorne
2021-04-09,Endorsement of Marco Rubio ,/news/endorsement-of-marco-rubio
2021-04-08,Endorsement of Rand Paul ,/news/endorsement-of-rand-paul
2021-04-08,Endorsement of Senator Ron Johnson ,/news/endorsement-of-senator-ron-johnson
2021-04-07,Endorsement of Mo Brooks ,/news/endorsement-of-mo-brooks
2021-03-30,Endorsement of Drew McKissick,/news/endorsement-of-drew-mckissick
2021-03-24,Endorsement of David Shafer ,/news/endorsement-of-david-shafer
2021-03-22,Endorsement of Jody Hice ,/news/endorsement-of-jody-hice
2021-03-10,Endorsement of Julia Letlow ,/news/endorsement-of-julia-letlow
2021-03-08,Endorsement of Senator John Boozman,/news/endorsement-of-senator-john-boozman
2021-03-05,Endorsement of Tim Griffin ,/news/endorsement-of-tim-griffin
2021-03-05,Endorsement of Mike Crapo ,/news/endorsement-of-mike-crapo
2021-03-05,Endorsement of Governor Henry McMaster ,/news/endorsement-of-governor-henry-mcmaster
2021-03-04,Endorsement of Senator John Kennedy ,/news/endorsement-of-senator-john-kennedy
2021-03-02,Endorsement of Senator Tim Scott ,/news/endorsement-of-senator-tim-scott
2021-02-26,Endorsement of Max Miller ,/news/endorsement-of-max-miller
2021-02-25,Endorsement of Senator Jerry Moran ,/news/endorsement-of-senator-jerry-moran
